property_type,society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,godrej,1.3,sector 79,8269.0,2,2,3,3.0,New Property,1423.0,1,0,0,0,0,1,49.0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,shree vardhman victoria,1.63,sector 70,8358.0,3,5,3,12.0,Relatively New,1528.0,0,1,0,0,0,1,43.0,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,tulip monsella,7.4,sector 53,33199.0,4,4,3,21.0,Under Construction,2477.0,0,0,0,0,0,1,35.0,"28.4433° N, 77.0948° E",28.4433,77.0948
flat,raheja sampada,0.65,sector 92,4744.0,3,2,3,6.0,Relatively New,1240.0,0,0,0,0,0,1,49.0,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,signature andour heights,0.6,sector 71,10000.0,2,2,1,5.0,Relatively New,557.0,0,0,0,1,0,1,59.0,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,bptp park generations,1.5,sector 37d,9868.0,3,2,3+,17.0,Relatively New,1376.0,0,0,0,0,0,1,42.0,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,paras dews,1.4,sector 106,6000.0,3,4,3+,12.0,Under Construction,1593.0,1,1,0,0,1,1,55.0,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,emaar palm gardens,1.48,sector 83,7789.0,3,3,3,7.0,Relatively New,1549.0,0,1,0,0,0,1,66.0,"28.3986° N, 76.9647° E",28.3986,76.9647
house,Not Applicable,1.5,sector 5,10288.0,3,3,No,2.0,Old Property,210.0,0,0,0,0,0,1,0.0,"28.4794° N, 77.0176° E",28.4794,77.0176
flat,emaar palm gardens,1.6,sector 83,8648.0,3,3,3+,6.0,Relatively New,1675.0,1,1,1,1,0,2,167.0,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,tulip petals,1.55,sector 89,10000.0,3,2,3,6.0,Moderately Old,1403.0,0,0,1,0,0,2,111.0,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,ireo the grand arch,4.85,sector 58,16934.0,4,5,3,23.0,Relatively New,3182.0,1,1,0,1,1,2,49.0,"28.4200° N, 77.1105° E",28.42,77.1105
flat,shapoorji pallonji joyville gurugram,1.1,sector 102,12181.0,2,2,1,8.0,Under Construction,818.0,0,0,0,0,0,1,105.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,orris aster court,0.69,sector 85,5221.0,2,2,2,5.0,Relatively New,1075.0,0,0,0,0,0,1,37.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,shree vardhman victoria,1.8,sector 70,9230.0,3,4,3,2.0,New Property,1528.0,0,1,0,0,1,1,45.0,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,ireo uptown,1.85,sector 66,12567.0,2,3,3,16.0,Relatively New,1470.0,0,1,0,0,1,2,79.0,"28.3925° N, 77.0541° E",28.3925,77.0541
house,Not Applicable,1.2,sector 48,22297.0,1,4,3+,4.0,Old Property,535.0,0,0,0,0,0,1,8.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,shree vardhman flora,0.65,sector 90,4814.0,2,2,3,10.0,Moderately Old,1222.0,1,0,0,0,0,2,83.0,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,mapsko casa bella,3.0,sector 82,6134.0,4,6,3+,25.0,Relatively New,4427.0,0,1,0,1,0,2,119.0,"28.3935° N, 76.9600° E",28.3935,76.96
flat,conscient heritage max,2.0,sector 102,9306.0,3,4,3+,13.0,Relatively New,1900.0,1,1,0,0,0,2,174.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,breeze global heights,0.4,sector 33,6421.0,2,2,2,4.0,Relatively New,623.0,0,0,0,0,0,1,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
flat,smart world orchard,2.57,sector 61,15766.0,3,3,2,3.0,Under Construction,1630.0,1,0,0,0,0,1,0.0,"28.4050° N, 77.0963° E",28.405,77.0963
flat,godrej icon,1.62,sector 88a,10018.0,3,2,3+,10.0,Relatively New,1464.0,1,0,0,0,0,0,49.0,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,vatika inxt floors,1.25,sector 82a,8333.0,3,2,3,2.0,Relatively New,1667.0,1,0,0,1,0,2,94.0,"28.3858° N, 76.9686° E",28.3858,76.9686
