column_1,column_2,normalized_1,normalized_2,similarity
Matrikiran High School,MatriKiran High School,matrikiran high school,matrikiran high school,100.0
Dwarka Sector 21 Metro station,Dwarka sector 21 metro station,dwarka sector 21 metro station,dwarka sector 21 metro station,100.0
Sector 42-43 Metro Station,Sector 42-43 Metro station,sector 42 43 metro station,sector 42 43 metro station,100.0
"Delhi Public School, Sector 84",Delhi Public School Sector 84,delhi public school sector 84,delhi public school sector 84,100.0
NH 48,NH-48,nh 48,nh 48,100.0
Global city centre,Global City Centre,global city centre,global city centre,100.0
Sector 55-56 metro,Sector 55-56 Metro,sector 55 56 metro,sector 55 56 metro,100.0
HUB 66,Hub 66,hub 66,hub 66,100.0
The Oberoi Gurgaon,"The Oberoi, Gurgaon",the oberoi gurgaon,the oberoi gurgaon,100.0
"International Tech Park Gurgaon,",International Tech Park Gurgaon,international tech park gurgaon,international tech park gurgaon,100.0
Dwarka Sector 21 Metro Station,Dwarka sector 21 metro station,dwarka sector 21 metro station,dwarka sector 21 metro station,100.0
National Highway 48,National Highway-48,national highway 48,national highway 48,100.0
Dwarka Sector 21 Metro Station,Dwarka Sector 21 Metro station,dwarka sector 21 metro station,dwarka sector 21 metro station,100.0
Huda Metro Station,Huda Metro station,huda metro station,huda metro station,100.0
Health Care Pharmacy,Health care pharmacy,health care pharmacy,health care pharmacy,100.0
Medanta-The Medicity,Medanta The Medicity,medanta the medicity,medanta the medicity,100.0
Infinity Business Park,infinity Business Park,infinity business park,infinity business park,100.0
Huda metro station,HUDA Metro Station,huda metro station,huda metro station,100.0
Huda metro station,Huda Metro station,huda metro station,huda metro station,100.0
Medanta -The Medicity,Medanta-The Medicity,medanta the medicity,medanta the medicity,100.0
Medanta -The Medicity,Medanta The Medicity,medanta the medicity,medanta the medicity,100.0
Lemon Tree Hotel,"Lemon Tree Hotel,",lemon tree hotel,lemon tree hotel,100.0
Medanta -The Medicity,Medanta - The Medicity,medanta the medicity,medanta the medicity,100.0
