property_type,society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,godrej,1.3,sector 79,8269.0,1572.0,Super Built up area 1572(146.04 sq.m.),2,2,3,3.0,North-East,New Property,1572.0,,,1,0,0,0,0,1,49.0,786.0
flat,shree vardhman victoria,1.63,sector 70,8358.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,12.0,East,Relatively New,1950.0,,1161.0,0,1,0,0,0,1,43.0,650.0
flat,tulip monsella,7.4,sector 53,33199.0,2229.0,Carpet area: 2229 (207.08 sq.m.),4,4,3,21.0,,Under Construction,,,2229.0,0,0,0,0,0,1,35.0,557.25
flat,raheja sampada,0.65,sector 92,4744.0,1370.0,Super Built up area 1370(127.28 sq.m.),3,2,3,6.0,North-East,Relatively New,1370.0,,,0,0,0,0,0,1,49.0,456.6666666666667
flat,signature andour heights,0.6,sector 71,10000.0,600.0,Super Built up area 600(55.74 sq.m.)Carpet area: 514 sq.ft. (47.75 sq.m.),2,2,1,5.0,South-West,Relatively New,600.0,,514.0,0,0,0,1,0,1,59.0,300.0
flat,bptp park generations,1.5,sector 37d,9868.0,1520.0,Super Built up area 1520(141.21 sq.m.),3,2,3+,17.0,North-East,Relatively New,1520.0,,,0,0,0,0,0,1,42.0,506.6666666666667
flat,paras dews,1.4,sector 106,6000.0,2333.0,Super Built up area 1760(163.51 sq.m.),3,4,3+,12.0,,Under Construction,1760.0,,,1,1,0,0,1,1,55.0,777.6666666666666
flat,emaar palm gardens,1.48,sector 83,7789.0,1900.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,7.0,East,Relatively New,1900.0,,1240.04,0,1,0,0,0,1,66.0,633.3333333333334
house,,1.5,sector 5,10288.0,1458.0,Plot area 162(135.45 sq.m.)Built Up area: 210 sq.yards (175.59 sq.m.),3,3,No,,,Old Property,,210.0,,0,0,0,0,0,1,0.0,486.0
flat,emaar palm gardens,1.6,sector 83,8648.0,1850.0,Super Built up area 1850(171.87 sq.m.),3,3,3+,6.0,East,Relatively New,1850.0,,,1,1,1,1,0,2,167.0,616.6666666666666
flat,tulip petals,1.55,sector 89,10000.0,1550.0,Super Built up area 1550(144 sq.m.),3,2,3,6.0,East,Moderately Old,1550.0,,,0,0,1,0,0,2,111.0,516.6666666666666
flat,ireo the grand arch,4.85,sector 58,16934.0,2864.0,Carpet area: 2864 (266.07 sq.m.),4,5,3,23.0,North-West,Relatively New,,,2864.0,1,1,0,1,1,2,49.0,716.0
flat,shapoorji pallonji joyville gurugram,1.1,sector 102,12181.0,903.0,Super Built up area 903(83.89 sq.m.),2,2,1,8.0,,Under Construction,903.0,,,0,0,0,0,0,1,105.0,451.5
flat,orris aster court,0.69,sector 85,5221.0,1322.0,Super Built up area 1312(121.89 sq.m.)Built Up area: 1075 sq.ft. (99.87 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),2,2,2,5.0,South-West,Relatively New,1312.0,1075.0,975.0,0,0,0,0,0,1,37.0,661.0
flat,shree vardhman victoria,1.8,sector 70,9230.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,4,3,2.0,South-West,New Property,1950.0,,1161.0,0,1,0,0,1,1,45.0,650.0
flat,ireo uptown,1.85,sector 66,12567.0,1472.0,Super Built up area 1472(136.75 sq.m.)Built Up area: 1470 sq.ft. (136.57 sq.m.)Carpet area: 1251 sq.ft. (116.22 sq.m.),2,3,3,16.0,South-East,Relatively New,1472.0,1470.0,1251.0,0,1,0,0,1,2,79.0,736.0
house,,1.2,sector 48,22297.0,538.0,Plot area 50,1,4,3+,4.0,West,Old Property,,535.0,,0,0,0,0,0,1,8.0,538.0
